survey,country,var,var_num,edyears,pct15_19,pct20_29,pct30_39,pct40_49
AM7,Armenia,urban,urban,24,,,,
AO7,Angola,all,all,0,1,1,1,1
AO7,Angola,all,all,1,.91438067,.85393929,.77718908,.78688657
AO7,Angola,all,all,2,.90333247,.84112179,.75835949,.75913453
AO7,Angola,all,all,3,.87212795,.81127334,.7150197,.70920098
AO7,Angola,all,all,4,.81649935,.7666111,.65486175,.62985665
AO7,Angola,all,all,5,.74298537,.70502341,.57513142,.52089781
AO7,Angola,all,all,6,.64786798,.64374077,.50787449,.45054427
AO7,Angola,all,all,7,.50978041,.57180929,.44519702,.3805379
AO7,Angola,all,all,8,.37091902,.49747473,.38889432,.32904088
AO7,Angola,all,all,9,.23980644,.42016459,.32221082,.25669488
AO7,Angola,all,all,10,.1365498,.33237246,.26603568,.20869185
AO7,Angola,all,all,11,.069024637,.26465544,.22591025,.181536
AO7,Angola,all,all,12,.034333132,.21381624,.20761766,.16406931
AO7,Angola,all,all,13,.0055881203,.084317863,.094296172,.07593096
AO7,Angola,all,all,14,.0014225114,.050772179,.070839278,.062128067
AO7,Angola,all,all,15,,.032179967,.05702569,.050901037
AO7,Angola,all,all,16,,.017989311,.044531114,.040644582
AO7,Angola,all,all,17,,.0095315753,.024206897,.028130235
AO7,Angola,all,all,18,,.0027204896,.0078772651,.014113114
AO7,Angola,all,all,19,,.001557644,.0037853711,.0097906608
AO7,Angola,all,all,20,,.0014575876,.0036827193,.0081442064
AO7,Angola,all,all,21,,.001361299,.0029257652,.005064379
AO7,Angola,all,all,22,,,,.0046102596
AO7,Angola,all,all,23,,.001145944,.0019375372,
AO7,Angola,all,all,24,,.0008900672,.0015933856,.0032741269
AO7,Angola,female,female,0,1,1,1,1
AO7,Angola,female,female,1,.88873613,.80544406,.70151538,.68764913
AO7,Angola,female,female,2,.87664258,.7873742,.67735136,.64916694
AO7,Angola,female,female,3,.84624541,.74693626,.61973226,.57740313
AO7,Angola,female,female,4,.79187369,.69241375,.54709339,.48042676
AO7,Angola,female,female,5,.71134126,.6246348,.4602448,.34520128
AO7,Angola,female,female,6,.60678369,.55895609,.39348528,.28031284
AO7,Angola,female,female,7,.47416499,.48822728,.32862169,.23132269
AO7,Angola,female,female,8,.34284687,.41486192,.27850276,.19361722
